"","gene_id","target_id","gene_description","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","Phvul.002G033300","Phvul.002G033300.1","PTHR10366//PTHR10366:SF375 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED (1 of 9)",8.94739066637408e-10,2.45579031619969e-05,37.5418191697411,111.400343969085,1,3.61185981337816,22.2800687938171,0.000191081433480294,22.2798777123836,0.0700658209991662,22.2798777123836
"2","Phvul.010G033200","Phvul.010G033200.1","K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)  (1 of 5)",8.89219740608136e-09,5.7542727521987e-05,33.06951649582,37.809239399411,1,5.60291877842823,7.5618478798822,0.0338653890618586,7.52798249082034,0.0201107745896293,7.52798249082034
"3","Phvul.003G151200","Phvul.003G151200.1","PF05703 - Auxin canalisation (Auxin_canalis)  (1 of 8)",8.01331945652905e-09,5.7542727521987e-05,33.271876222221,71.4950489774112,1,2.9676777037442,14.2990097954822,0.00475986194181298,14.2942499335404,0.143063828600317,14.2942499335404
"4","Phvul.008G088700","Phvul.008G088700.2","PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 9)",4.43304093475005e-09,5.7542727521987e-05,34.4236487522446,27.7714970721312,1,5.32501043601633,5.55429941442623,0.0201152027294164,5.53418421169682,0.0228190242620787,5.53418421169682
"5","Phvul.004G032000","Phvul.004G032000.1","",1.04825167635784e-08,5.7542727521987e-05,32.7496501635381,71.2015522421387,1,2.75160272994311,14.2403104484277,0.00333496207675397,14.236975486351,0.186541190285644,14.236975486351
"6","Phvul.005G099500","Phvul.005G099500.1","PTHR32077:SF6 - FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 13-RELATED (1 of 1)",1.51218614383105e-08,6.91749551495513e-05,32.0375822723522,35.7858794126155,1,5.5192474833727,7.1571758825231,0.025343274370347,7.13183260815275,0.0208599234694195,7.13183260815275
"7","Phvul.008G088901","Phvul.008G088901.1","",2.37118833814053e-08,7.99866752216158e-05,31.1640342430047,65.554352362421,1,2.61188664367855,13.1108704724842,0.00140908763989404,13.1094613848443,0.22261384560934,13.1094613848443
"8","Phvul.004G154900","Phvul.004G154900.1","K04730 - interleukin-1 receptor-associated kinase 1 (IRAK1)  (1 of 24)",2.84631077334822e-08,7.99866752216158e-05,30.8095675341487,18.250838965542,1,5.15232306128906,3.65016779310841,0.0171661040932388,3.63300168901517,0.0247826180226015,3.63300168901517
"9","Phvul.007G041000","Phvul.007G041000.1","PF04450 - Peptidase of plants and bacteria (BSP)  (1 of 3)",2.9142228739613e-08,7.99866752216158e-05,30.763811001375,12.7761973615021,1,5.53280608265584,2.55523947230043,0.00913474845634269,2.54610472384408,0.0207344263872728,2.54610472384408
"10","Phvul.006G149400","Phvul.006G149400.6","",2.3584927563405e-08,7.99866752216158e-05,31.1744555139238,67.6300496817606,1,2.66252032154671,13.5260099363521,0.00808050749276294,13.5179294288594,0.208753414048605,13.5179294288594
