Gene Name,Transcript Name,Description
Phvul.010G124000,Phvul.010G124000.1,"PF04570 - zinc-finger of the FCS-type, C2-C2 (zf-FLZ)  (1 of 19)"
Phvul.011G087700,Phvul.011G087700.1,PF00168 - C2 domain (C2)  (1 of 105)
Phvul.011G021600,Phvul.011G021600.1,PF06749 - Protein of unknown function (DUF1218) (DUF1218)  (1 of 14)
Phvul.004G069600,Phvul.004G069600.5,
Phvul.009G058900,Phvul.009G058900.1,
Phvul.009G166900,Phvul.009G166900.4,K11650 - SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D (SMARCD)  (1 of 4)
Phvul.011G060100,Phvul.011G060100.1,
Phvul.003G137600,Phvul.003G137600.1,2.4.1.207 - Xyloglucan:xyloglucosyl transferase / Xyloglucan endotransglycosylase (1 of 34)
Phvul.010G119900,Phvul.010G119900.4,
Phvul.006G028400,Phvul.006G028400.1,1.1.1.65 - Pyridoxine 4-dehydrogenase / Pyridoxine dehydrogenase (1 of 2)
Phvul.004G106100,Phvul.004G106100.1,PTHR13343:SF13 - PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN-LIKE PROTEIN (1 of 1)
Phvul.004G049100,Phvul.004G049100.2,
Phvul.003G163000,Phvul.003G163000.1,PF00646 - F-box domain (F-box)  (1 of 135)
Phvul.002G099300,Phvul.002G099300.2,
Phvul.004G140800,Phvul.004G140800.4,
Phvul.007G269100,Phvul.007G269100.1,PTHR11638//PTHR11638:SF69 - ATP-DEPENDENT CLP PROTEASE // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G317300,Phvul.002G317300.1,"K18156 - mitochondrial inner membrane protease ATP23 [EC:3.4.24.-] (ATP23, XRCC6BP1)  (1 of 3)"
Phvul.005G016100,Phvul.005G016100.2,
Phvul.011G058400,Phvul.011G058400.1,PF03100 - CcmE (CcmE)  (1 of 1)
Phvul.006G041600,Phvul.006G041600.1,PF12796//PF13962 - Ankyrin repeats (3 copies) (Ank_2)  // Domain of unknown function (PGG)  (1 of 27)
