"","target_id","gene_description","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","Phvul.002G333800","",9,23.9854606053282,4.46546628448637e-16,8.56489690525727e-12
"2","Phvul.002G324900","",3,19.0162492593917,7.8964614440209e-16,8.56489690525727e-12
"3","Phvul.009G229900","",5,25.8447936328813,1.0400592964537e-13,7.52066877265674e-10
"4","Phvul.006G020900","PTHR24343:SF189 - CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 3 (1 of 2)",8,38.093487220892,2.85688013476128e-13,1.54935751908441e-09
"5","Phvul.002G033300","PTHR10366//PTHR10366:SF375 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED (1 of 9)",2,6.82828700302186,4.16493709739901e-12,1.80699960907753e-08
"6","Phvul.003G151200","PF05703 - Auxin canalisation (Auxin_canalis)  (1 of 8)",2,8.40944860892079,1.25666394691688e-11,4.54346850007799e-08
"7","Phvul.001G114700","",5,21.7217032160665,2.33042087958437e-11,7.22197430583196e-08
"8","Phvul.008G205700","PTHR24343:SF189 - CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 3 (1 of 2)",4,28.9348905597901,4.86364802131869e-11,1.31883895658083e-07
"9","Phvul.011G045400","",10,38.341685195528,9.32142829242949e-11,2.24677493275192e-07
"10","Phvul.007G086300","PTHR23155//PTHR23155:SF562 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)",2,9.63446909696607,5.98573555628644e-10,1.29848561422522e-06
"11","Phvul.007G206800","",4,26.049215830268,1.48344717160317e-09,2.92549268123523e-06
"12","Phvul.007G158800","K01099 - phosphatidylinositol-bisphosphatase (E3.1.3.36)  (1 of 2)",4,23.4285352963292,2.11727683108927e-09,3.82750719140162e-06
"13","Phvul.009G259650","",3,16.6173362513666,3.65024473123735e-09,6.09113530421014e-06
"14","Phvul.010G028101","",2,8.15149585856204,3.94127849438223e-09,6.10701102704527e-06
"15","Phvul.008G088700","PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 9)",1,5.32501043601633,4.43304093475005e-09,6.41106379983553e-06
"16","Phvul.006G134300","",2,8.53350676245246,5.32574892972721e-09,7.22071697078577e-06
"17","Phvul.008G279700","",3,10.9787873748853,7.18015716647599e-09,9.16230290660963e-06
"18","Phvul.004G014600","",3,7.9459430555794,8.60319843989031e-09,9.95835488378269e-06
"19","Phvul.004G032000","PTHR24343//PTHR24343:SF156 - SERINE/THREONINE KINASE // SUBFAMILY NOT NAMED (1 of 2)",2,7.85442974055089,9.18116893355709e-09,9.95835488378269e-06
"20","Phvul.010G033200","K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)  (1 of 5)",1,5.60291877842823,8.89219740608136e-09,9.95835488378269e-06
"21","Phvul.008G077300","PTHR32099:SF1 - CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 9-RELATED (1 of 5)",3,5.85950658748644,1.25896388460916e-08,1.2284594102844e-05
"22","Phvul.009G128066","",2,10.7023182075247,1.21195896313803e-08,1.2284594102844e-05
"23","Phvul.010G026300","",2,6.86902255969128,1.30247390570881e-08,1.2284594102844e-05
"24","Phvul.010G029100","PF00931//PF01582 - NB-ARC domain (NB-ARC)  // TIR domain (TIR)  (1 of 28)",2,7.6029423448398,1.55372039536349e-08,1.30122570592076e-05
"25","Phvul.006G187600","",3,16.6575056216449,1.55957536320195e-08,1.30122570592076e-05
"26","Phvul.005G099500","PTHR32077:SF6 - FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 13-RELATED (1 of 1)",1,5.5192474833727,1.51218614383105e-08,1.30122570592076e-05
"27","Phvul.011G055600","",2,10.6764110023447,1.89007282809788e-08,1.51856851333064e-05
"28","Phvul.008G088901","",1,2.61188664367855,2.37118833814053e-08,1.83707816497438e-05
"29","Phvul.004G154900","K04730 - interleukin-1 receptor-associated kinase 1 (IRAK1)  (1 of 24)",1,5.15232306128906,2.84631077334822e-08,2.10727456016142e-05
"30","Phvul.007G041000","PF04450 - Peptidase of plants and bacteria (BSP)  (1 of 3)",1,5.53280608265584,2.9142228739613e-08,2.10727456016142e-05
"31","Phvul.002G131200","PTHR23155//PTHR23155:SF505 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 23)",2,7.05288630256233,4.6539060844147e-08,3.0593086269457e-05
"32","Phvul.008G114000","",4,19.3000236718242,4.37981817562651e-08,3.0593086269457e-05
"33","Phvul.002G187950","",3,12.3223017400506,4.52584512286077e-08,3.0593086269457e-05
"34","Phvul.008G227000","",4,13.7787940769792,4.80572056698688e-08,3.06619106646019e-05
"35","Phvul.005G090000","",3,17.8245579463737,5.10587439837439e-08,3.16462095211245e-05
"36","Phvul.010G124800","PTHR22835:SF262 - GDSL ESTERASE/LIPASE 5-RELATED (1 of 3)",1,5.38712911594442,6.77022164700476e-08,3.96936265374255e-05
"37","Phvul.001G137800","",3,11.256423609526,6.59093287209688e-08,3.96936265374255e-05
"38","Phvul.002G137600","",2,11.8423008919616,9.27276543820614e-08,5.29352896450015e-05
"39","Phvul.003G186900","",3,12.1762797861788,9.69970658305773e-08,5.39527525400696e-05
"40","Phvul.004G090800","1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)",1,2.41980826692313,1.02401207630677e-07,5.55347349283072e-05
"41","Phvul.011G014200","PTHR23155:SF402 - DISEASE RESISTANCE PROTEIN RPP13-RELATED (1 of 8)",1,4.6406290657509,1.11467336426012e-07,5.89770958314506e-05
"42","Phvul.010G120401","",6,38.6053800694771,1.33630478360387e-07,6.902014207314e-05
"43","Phvul.001G196800","PTHR12632:SF7 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT A-10-RELATED (1 of 2)",4,27.453946004297,1.37738537680949e-07,6.94874906491356e-05
"44","Phvul.010G029201","PTHR11017//PTHR11017:SF163 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 62)",1,5.02128324351701,1.47269629291272e-07,7.26072742776263e-05
