"","target_id","gene_description","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","Phvul.011G045400","",10,39.0180171989286,4.52848699293752e-22,9.69367925708205e-18
"2","Phvul.010G120401","",6,40.1567438642991,6.85062870851338e-18,7.33222790672187e-14
"3","Phvul.010G132433","",5,19.2637589710819,2.14065523508443e-13,1.52742886540724e-09
"4","Phvul.002G324900","",3,18.4005087098202,7.62828315315563e-13,4.08227572941124e-09
"5","Phvul.009G099000","",10,42.2832526126908,1.68495164854433e-12,7.213614997748e-09
"6","Phvul.009G229900","",5,25.4343559485625,4.26972667438382e-12,1.52329615319767e-08
"7","Phvul.003G031700","PTHR35100:SF1 - F15H11.13 PROTEIN (1 of 1)",7,24.085364285224,2.38129760848374e-11,7.28200808674327e-08
"8","Phvul.009G254200","",5,14.9936354771385,6.9957778718432e-11,1.83999232801448e-07
"9","Phvul.009G259650","",3,18.1881297275503,7.73611648702716e-11,1.83999232801448e-07
"10","Phvul.006G168300","",2,16.6548599320044,1.12184254300896e-10,2.40141614756497e-07
"11","Phvul.011G211300","",6,21.4310344697638,1.51160511287821e-10,2.941583549661e-07
"12","Phvul.007G206800","",4,25.7929641839219,2.70971076402833e-10,4.83367238456586e-07
"13","Phvul.002G121000","",2,11.1807583131785,9.69931086598352e-10,1.38415632264829e-06
"14","Phvul.005G165100","",4,20.5293561280331,8.51157676723735e-10,1.38415632264829e-06
"15","Phvul.011G114400","PTHR12313//PTHR12313:SF5 - RNF5 // SUBFAMILY NOT NAMED (1 of 2)",3,18.1200502816999,9.28288532139797e-10,1.38415632264829e-06
"16","Phvul.001G014700","",3,19.4058233929846,1.12119763704875e-09,1.5000222886666e-06
"17","Phvul.009G136000","PTHR10219:SF34 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MXL8 (1 of 2)",2,12.230790173304,1.40268393862876e-09,1.76622661119337e-06
"18","Phvul.008G205700","PTHR24343:SF189 - CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 3 (1 of 2)",4,28.7940583416891,1.84649420507958e-09,2.1958919418852e-06
"19","Phvul.008G114000","",4,19.1250665124017,7.6965243777681e-09,8.2375900415252e-06
"20","Phvul.009G133800","",2,15.1905819274611,7.6957460158497e-09,8.2375900415252e-06
"21","Phvul.001G001100","",2,12.6721840812199,1.26685437452624e-08,1.29134689243374e-05
"22","Phvul.007G185100","",3,11.9619423344899,1.54934703705997e-08,1.44197055110025e-05
"23","Phvul.003G087600","K00626 - acetyl-CoA C-acetyltransferase (E2.3.1.9, atoB)  (1 of 2)",2,12.1419490169694,1.49489490330772e-08,1.44197055110025e-05
"24","Phvul.007G040900","PF04450 - Peptidase of plants and bacteria (BSP)  (1 of 3)",1,7.37943135621556,1.10070880134627e-07,9.81740525067431e-05
"25","Phvul.001G110500","1.4.1.2 - Glutamate dehydrogenase / Glutamic dehydrogenase (1 of 2)",2,11.5212008873138,1.18204286869127e-07,0.000101211238588821
"26","Phvul.010G096000","",6,19.1578006943773,1.71657910738142e-07,0.000136092934713358
"27","Phvul.006G187500","",3,18.7458921681263,1.6742581254121e-07,0.000136092934713358
"28","Phvul.008G285100","K08913 - light-harvesting complex II chlorophyll a/b binding protein 2 (LHCB2)  (1 of 1)",1,5.59265700900718,2.57770432296921e-07,0.000183927795791596
"29","Phvul.007G144900","PTHR23284:SF2 - SEC12-LIKE PROTEIN 1 (1 of 1)",3,18.8699973240605,2.5411858997648e-07,0.000183927795791596
"30","Phvul.003G175500","",2,11.1670079875816,2.51257779799931e-07,0.000183927795791596
"31","Phvul.003G082500","",4,17.9495506774074,3.74513820364019e-07,0.000242934631476127
"32","Phvul.008G160500","",2,7.82175776930054,3.69251880621062e-07,0.000242934631476127
"33","Phvul.003G015500","",2,11.0680011315583,3.54118589274542e-07,0.000242934631476127
"34","Phvul.002G180200","K08150 - MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13 (SLC2A13, ITR)  (1 of 10)",1,5.41118543192404,4.01899766793567e-07,0.00025303136494068
"35","Phvul.L001647","",1,6.49877574255271,4.65453437256348e-07,0.000276763785497483
"36","Phvul.007G056000","",3,21.4815296429457,4.55858260204205e-07,0.000276763785497483
"37","Phvul.011G166500","PF00197 - Trypsin and protease inhibitor (Kunitz_legume)  (1 of 24)",1,5.99661430507334,5.15394136183742e-07,0.000298176402139167
"38","Phvul.007G173900","",2,12.6956344294988,5.29621119157029e-07,0.000298343938859878
"39","Phvul.011G162600","",2,10.3198026141559,5.70275346239978e-07,0.000300233831701699
"40","Phvul.008G282600","PTHR31268:SF4 - GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 1-RELATED (1 of 1)",1,4.44959860582043,5.5486754800037e-07,0.000300233831701699
"41","Phvul.011G154600","",2,10.7423483296265,5.75053120609626e-07,0.000300233831701699
"42","Phvul.004G098000","PF04554 - Extensin-like region (Extensin_2)  (1 of 3)",1,9.65066554089781,7.18072888415128e-07,0.000346248234969197
"43","Phvul.006G181500","",2,9.085309258972,6.82269804260642e-07,0.000346248234969197
"44","Phvul.009G142400","",2,12.5577822902474,7.13720614250035e-07,0.000346248234969197
"45","Phvul.008G113900","PF14368 - Probable lipid transfer (LTP_2)  (1 of 66)",1,6.44951251410698,7.27888002130891e-07,0.000346248234969197
"46","Phvul.008G039500","",2,12.0196459789212,7.70089296193653e-07,0.000358359379876551
"47","Phvul.003G006100","2.1.1.154 - Isoliquiritigenin 2'-O-methyltransferase / CHMT (1 of 8)",1,6.06666990020363,8.25868635802438e-07,0.000376139234425255
"48","Phvul.006G084800","PF00069//PF01657 - Protein kinase domain (Pkinase)  // Salt stress response/antifungal (Stress-antifung)  (1 of 9)",1,4.49661585466065,8.79313890219173e-07,0.000376451862680632
"49","Phvul.009G260800","PTHR24093:SF355 - ATPASE 1, PLASMA MEMBRANE-TYPE-RELATED (1 of 4)",3,6.93939928002087,8.47302368327486e-07,0.000376451862680632
"50","Phvul.002G239100","",2,9.02008131467162,8.67295835687672e-07,0.000376451862680632
"51","Phvul.011G170300","",3,16.4324813814295,9.0287606118119e-07,0.000378960097365579
"52","Phvul.002G057300","",2,7.84604389115723,9.21816160175331e-07,0.000379469167782945
"53","Phvul.002G126200","PTHR24298:SF129 - CYTOCHROME P450 (1 of 6)",2,2.63854111008944,1.08219448372571e-06,0.000437084058842125
"54","Phvul.010G034400","K08472 - mlo protein (MLO)  (1 of 20)",1,4.14843651043003,1.1718397577517e-06,0.000464525960267277
"55","Phvul.006G134300","",2,8.91939188024246,1.26989405726041e-06,0.000494242767085751
"56","Phvul.008G009000","",2,10.9341270867483,1.49686223156168e-06,0.000552445395324299
"57","Phvul.007G186900","",1,6.08717201033738,1.48454030619034e-06,0.000552445395324299
