"","target_id","gene_description","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","Phvul.010G120401","",6,39.8969891192931,2.95874449599274e-14,6.34946568840041e-10
"2","Phvul.002G333800","",9,22.6010836398459,1.87780145622899e-13,2.0148809625337e-09
"3","Phvul.008G076450","",3,8.58995748977158,1.19120142003369e-11,8.52106082464096e-08
"4","Phvul.003G186900","",3,11.1079923511217,9.38413114517549e-11,5.03458635938665e-07
"5","Phvul.004G076100","",3,4.22085213600775,3.76097093184472e-10,1.61420872394776e-06
"6","Phvul.010G028101","",2,8.28707270970511,6.01955271362166e-09,1.85392480688858e-05
"7","Phvul.010G026300","",2,6.73360137312777,6.04728501780991e-09,1.85392480688858e-05
"8","Phvul.009G259650","",3,17.57207633385,8.05060660349188e-09,2.14198893084284e-05
"9","Phvul.004G058400","",1,2.9325917244124,8.98317818154034e-09,2.14198893084284e-05
"10","Phvul.010G124800","PTHR22835:SF262 - GDSL ESTERASE/LIPASE 5-RELATED (1 of 3)",1,5.53770179188173,2.3012042497896e-08,3.79875716926806e-05
"11","Phvul.010G029100","PF00931//PF01582 - NB-ARC domain (NB-ARC)  // TIR domain (TIR)  (1 of 28)",2,7.4928970814442,2.16119121743232e-08,3.79875716926806e-05
"12","Phvul.007G086300","PTHR23155//PTHR23155:SF562 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)",2,9.87122791564239,1.83257025963476e-08,3.79875716926806e-05
"13","Phvul.008G077300","PTHR32099:SF1 - CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 9-RELATED (1 of 5)",3,5.05174546589283,2.12996137036073e-08,3.79875716926806e-05
"14","Phvul.004G032000","PTHR24343//PTHR24343:SF156 - SERINE/THREONINE KINASE // SUBFAMILY NOT NAMED (1 of 2)",2,7.88454869204699,4.13059360362395e-08,6.331609909555e-05
"15","Phvul.002G131200","PTHR23155//PTHR23155:SF505 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 23)",2,6.98645016943648,4.60191611861079e-08,6.5838079936925e-05
"16","Phvul.008G227000","",4,14.4206999232829,5.68829330413371e-08,7.45788859010529e-05
"17","Phvul.009G128066","",2,10.3656877583673,5.90792665572181e-08,7.45788859010529e-05
"18","Phvul.003G151200","PF05703 - Auxin canalisation (Auxin_canalis)  (1 of 8)",2,7.17541156578105,7.42605864919454e-08,8.85351214509526e-05
"19","Phvul.010G029201","PTHR11017//PTHR11017:SF163 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 62)",1,4.83310198822485,8.03443923154108e-08,8.99961306468016e-05
"20","Phvul.011G183950","PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1)  (1 of 46)",1,5.33080543513174,8.38733743213435e-08,8.99961306468016e-05
"21","Phvul.003G114300","",4,28.1481442458792,1.28558776292856e-07,0.000131374825678319
"22","Phvul.L009001","",1,3.30177023375971,1.42676098751768e-07,0.000139174049055133
"23","Phvul.008G088700","PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 9)",1,4.85458017763166,1.57029534986864e-07,0.000146515383513831
"24","Phvul.011G014200","PTHR23155:SF402 - DISEASE RESISTANCE PROTEIN RPP13-RELATED (1 of 8)",1,4.77700392892253,1.86293957484439e-07,0.000166577846984002
"25","Phvul.008G084700","",3,13.5529101223448,2.15436278837803e-07,0.000177817790148433
"26","Phvul.001G114700","",5,21.7154759237467,2.0796364361931e-07,0.000177817790148433
"27","Phvul.010G033200","K02962 - small subunit ribosomal protein S17e (RP-S17e, RPS17)  (1 of 5)",1,5.45379011207818,2.69029676062092e-07,0.000213828772158981
"28","Phvul.010G026100","PF00931//PF13676 - NB-ARC domain (NB-ARC)  // TIR domain (TIR_2)  (1 of 30)",1,4.86235588574158,3.13095064587381e-07,0.000239965003073043
"29","Phvul.010G028700","PF01582//PF05729 - TIR domain (TIR)  // NACHT domain (NACHT)  (1 of 1)",1,4.89174646182804,3.55324171479963e-07,0.000262939886895173
"30","Phvul.001G137800","",3,11.0511425706857,3.85053097581349e-07,0.000275441315803192
"31","Phvul.004G009161","PTHR16212:SF4 - FOCADHESIN (1 of 11)",1,4.90836009004784,4.26261068443368e-07,0.000295082662219183
"32","Phvul.001G147001","",2,10.433121238307,4.76252397847631e-07,0.000319386764306568
"33","Phvul.007G054300","PTHR23024//PTHR23024:SF193 - MEMBER OF 'GDXG' FAMILY OF LIPOLYTIC ENZYMES // SUBFAMILY NOT NAMED (1 of 2)",1,3.30478322805368,4.99041819453589e-07,0.000324528407438607
"34","Phvul.004G090800","1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)",1,2.29869928826478,6.3228677708392e-07,0.000393341353404136
