target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	757.731	65	3.11979
Phvul.010G034400.1	1524	1360.73	30	0.801819
Phvul.010G080100.1	1407	1243.73	75	2.19312
Phvul.010G087950.1	351	189.462	0	0
Phvul.010G124000.1	474	310.868	40	4.67963
Phvul.010G044100.1	279	121.528	2634	788.252
Phvul.010G120850.1	957	793.731	42.9999	1.97025
Phvul.010G162100.1	1782	1618.73	0	0
Phvul.010G081700.1	1359	1195.73	98.8596	3.00686
Phvul.010G081700.2	1359	1195.73	98.8596	3.00686
Phvul.010G081700.3	978	814.731	43.2807	1.932
Phvul.010G116100.2	984	820.731	475.029	21.0497
Phvul.010G116100.1	984	820.731	475.029	21.0497
Phvul.010G116100.3	942	778.731	407.765	19.0437
Phvul.010G116100.4	930	766.731	137.088	6.50256
Phvul.010G116100.5	930	766.731	137.088	6.50256
Phvul.010G151000.1	1998	1834.73	435	8.62272
Phvul.010G015900.1	1059	895.731	5962	242.07
Phvul.010G140500.1	600	436.731	473	39.389
Phvul.010G118600.1	894	730.731	42.0373	2.09221
Phvul.010G118600.2	888	724.731	137.901	6.92021
Phvul.010G118600.3	870	706.731	0	0
Phvul.010G118600.4	864	700.731	0	0
Phvul.010G118600.5	864	700.731	0	0
Phvul.010G118600.6	864	700.731	4.32679	0.224565
Phvul.010G118600.7	858	694.731	16.7345	0.876041
Phvul.010G118600.8	840	676.731	0	0
Phvul.010G118600.9	834	670.731	0	0
Phvul.010G118600.10	834	670.731	0	0
Phvul.010G118600.11	816	652.731	0	0
Phvul.010G118600.12	810	646.731	0	0
Phvul.010G118600.13	651	487.731	0	0
Phvul.010G126700.4	675	511.731	475.117	33.7665
Phvul.010G126700.1	645	481.731	117.109	8.84124
Phvul.010G126700.5	624	460.731	142.045	11.2126
Phvul.010G126700.2	624	460.731	142.045	11.2126
Phvul.010G126700.6	591	427.731	72.3418	6.151
Phvul.010G126700.3	591	427.731	72.3418	6.151
Phvul.010G089600.1	1068	904.731	39.5192	1.58861
Phvul.010G089600.2	1047	883.731	12.6923	0.522335
Phvul.010G128000.1	786	622.731	7	0.408813
Phvul.010G160700.1	999	835.731	124	5.39613
Phvul.010G139800.1	2334	2170.73	63.9912	1.07211
Phvul.010G139800.2	2316	2152.73	0.00884938	0.000149503
Phvul.010G139800.3	2226	2062.73	0	0
Phvul.010G139800.4	1923	1759.73	0	0
Phvul.010G139800.5	1905	1741.73	0	0
Phvul.010G075800.1	1284	1120.73	104	3.37489
Phvul.010G004000.1	1905	1741.73	15.7303	0.328461
Phvul.010G058700.1	1506	1342.73	40	1.08342
Phvul.010G042100.1	2886	2722.73	780	10.4188
Phvul.010G050300.1	375	212.855	3	0.512584
Phvul.010G057200.1	1878	1714.73	3	0.0636286
Phvul.010G060700.1	216	67.7998	535.138	287.055
Phvul.010G065200.1	753	589.731	454.5	28.029
Phvul.010G065200.2	753	589.731	454.5	28.029
Phvul.010G133600.1	1032	868.731	690	28.8862
Phvul.010G133600.2	1032	868.731	690	28.8862
Phvul.010G013600.1	3285	3121.73	1	0.0116502
Phvul.010G031300.1	441	278.035	421	55.0694
Phvul.010G133100.1	351	189.462	10.1304	1.9446
Phvul.010G071200.1	1431	1267.73	0	0
