"","gene_id","target_id","gene_description","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","Phvul.003G006100","Phvul.003G006100.1","2.1.1.154 - Isoliquiritigenin 2'-O-methyltransferase / CHMT (1 of 8)",8.25868635802438e-07,0.00215463878154251,24.2965496838424,3.15554668509796,1,6.06666990020363,0.631109337019592,0.00312264480991723,0.627986692209674,0.0191576322670279,0.627986692209674
"2","Phvul.011G166500","Phvul.011G166500.1","PF00197 - Trypsin and protease inhibitor (Kunitz_legume)  (1 of 24)",5.15394136183742e-07,0.00215463878154251,25.205335586045,9.57714433721302,1,5.99661430507334,1.9154288674426,0.00657726798392072,1.90885159945868,0.0194136692894677,1.90885159945868
"3","Phvul.008G282600","Phvul.008G282600.1","PTHR31268:SF4 - GALACTINOL--SUCROSE GALACTOSYLTRANSFERASE 1-RELATED (1 of 1)",5.5486754800037e-07,0.00215463878154251,25.0630223722836,8.04055800479672,1,4.44959860582043,1.60811160095934,0.0220598197372984,1.58605178122205,0.0353382450783452,1.58605178122205
"4","Phvul.008G285100","Phvul.008G285100.1","K08913 - light-harvesting complex II chlorophyll a/b binding protein 2 (LHCB2)  (1 of 1)",2.57770432296921e-07,0.00215463878154251,26.5427487519623,5.58616151430835,1,5.59265700900718,1.11723230286167,0.00496547071601864,1.11226683214565,0.0214757657669863,1.11226683214565
"5","Phvul.008G009000","Phvul.008G009000.1","PTHR11206//PTHR11206:SF167 - MULTIDRUG RESISTANCE PROTEIN // SUBFAMILY NOT NAMED (1 of 1)",6.65466592877385e-07,0.00215463878154251,24.7126297359906,3.1110681535377,1,6.78204388301696,0.622213630707539,0.00581439060776471,0.616399240099775,0.0187178370663724,0.616399240099775
"6","Phvul.008G113900","Phvul.008G113900.1","PF14368 - Probable lipid transfer (LTP_2)  (1 of 66)",7.27888002130891e-07,0.00215463878154251,24.5398488149251,3.85257040234767,1,6.44951251410698,0.770514080469534,0.00204886587071387,0.76846521459882,0.018439574378381,0.76846521459882
"7","Phvul.004G098000","Phvul.004G098000.1","PF04554 - Extensin-like region (Extensin_2)  (1 of 3)",7.18072888415128e-07,0.00215463878154251,24.5660086068098,6.93127771418493,1,9.65066554089781,1.38625554283699,8.22055037497443e-05,1.38617333733324,0.0641697710682125,1.38617333733324
"8","Phvul.007G040900","Phvul.007G040900.1","PF04450 - Peptidase of plants and bacteria (BSP)  (1 of 3)",1.10070880134627e-07,0.00215463878154251,28.1882477179047,4.36890383114151,1,7.37943135621556,0.873780766228303,0.000753598919323456,0.873027167308979,0.0214798298525756,0.873027167308979
"9","Phvul.006G084800","Phvul.006G084800.1","PF00069//PF01657 - Protein kinase domain (Pkinase)  // Salt stress response/antifungal (Stress-antifung)  (1 of 9)",8.79313890219173e-07,0.00215463878154251,24.1757752383123,6.7524798424416,1,4.49661585466065,1.35049596848832,0.0194623990341573,1.33103356945416,0.0345116935296117,1.33103356945416
"10","Phvul.L001647","Phvul.L001647.1","",4.65453437256348e-07,0.00215463878154251,25.4019249447531,4.26318247108562,1,6.49877574255271,0.852636494217124,0.0021775394605223,0.850458954756601,0.0184316331779691,0.850458954756601
